Anime,1st recomm,2nd recomm,3rd recomm
Yozakura Quartet: Hana no Uta,Bleach,Bungou Stray Dogs,One Punch Man
Yuâ˜†Giâ˜†Oh! Duel Monsters,Magi: The Labyrinth of Magic,BlazBlue: Alter Memory,Tensei shitara Ken Deshita
Yuuâ˜†Yuuâ˜†Hakusho,Saiyuuki Reload Blast,Blood Lad,Kuroshitsuji
Yuukoku no Moriarty,Re:Zero kara Hajimeru Isekai Seikatsu,Rainbow: Nisha Rokubou no Shichinin,Death Parade
Zankyou no Terror,Re:Zero kara Hajimeru Isekai Seikatsu,Death Parade,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
Zetsuen no Tempest,Kokkoku,Mirai Nikki (TV),Death Parade
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,K,Shuumatsu no WalkÃ¼re,Deatte 5-byou de Battle
Zombieland Saga,Saiki Kusuo no Î¨-nan,Noragami,Soul Eater
Bubble,Cyberpunk: Edgerunners,Akudama Drive,Seikaisuru Kado
Hotarubi no Mori e,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Hataraku Maou-sama!
Howl no Ugoku Shiro,Seirei Gensouki,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Hotarubi no Mori e
Kakurenbo,Highschool of the Dead,Mieruko-chan,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
Kimi no Na wa.,Sen to Chihiro no Kamikakushi,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Sen to Chihiro no Kamikakushi,Hotarubi no Mori e,Arcana Famiglia,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Tenki no Ko,Seirei Gensouki,Hotarubi no Mori e,Romeo x Juliet
